DateTime,Name,Site,DateTime,Tz,{parameter},qual_code
1970-01-01 00:00:00.000000000,1.49,P,1970-01-01 00:00:00.000000000,P,752.0,P
1970-01-01 00:00:00.000000000,1.46,P,1970-01-01 00:00:00.000000000,P,768.0,P
1970-01-01 00:00:00.000000000,1.56,P,1970-01-01 00:00:00.000000000,P,843.0,P
1970-01-01 00:00:00.000000000,1.41,P,1970-01-01 00:00:00.000000000,P,913.0,P
1970-01-01 00:00:00.000000000,1.31,P,1970-01-01 00:00:00.000000000,P,958.0,P
1970-01-01 00:00:00.000000000,1.37,P,1970-01-01 00:00:00.000000000,P,1110.0,P
1970-01-01 00:00:00.000000000,1.49,P,1970-01-01 00:00:00.000000000,P,1310.0,P
1970-01-01 00:00:00.000000000,1.7,P,1970-01-01 00:00:00.000000000,P,1310.0,P
1970-01-01 00:00:00.000000000,1.73,P,1970-01-01 00:00:00.000000000,P,1350.0,P
1970-01-01 00:00:00.000000000,1.63,P,1970-01-01 00:00:00.000000000,P,1270.0,P
1970-01-01 00:00:00.000000000,1.67,P,1970-01-01 00:00:00.000000000,P,1180.0,P
1970-01-01 00:00:00.000000000,1.51,P,1970-01-01 00:00:00.000000000,P,1050.0,P
1970-01-01 00:00:00.000000000,1.85,P,1970-01-01 00:00:00.000000000,P,919.0,P
1970-01-01 00:00:00.000000000,1.81,P,1970-01-01 00:00:00.000000000,P,715.0,P
1970-01-01 00:00:00.000000000,1.59,P,1970-01-01 00:00:00.000000000,P,621.0,P
1970-01-01 00:00:00.000000000,1.38,P,1970-01-01 00:00:00.000000000,P,712.0,P
1970-01-01 00:00:00.000000000,1.34,P,1970-01-01 00:00:00.000000000,P,772.0,P
1970-01-01 00:00:00.000000000,1.21,P,1970-01-01 00:00:00.000000000,P,739.0,P
1970-01-01 00:00:00.000000000,1.27,P,1970-01-01 00:00:00.000000000,P,709.0,P
1970-01-01 00:00:00.000000000,1.41,P,1970-01-01 00:00:00.000000000,P,744.0,P
1970-01-01 00:00:00.000000000,1.25,P,1970-01-01 00:00:00.000000000,P,615.0,P
1970-01-01 00:00:00.000000000,1.12,P,1970-01-01 00:00:00.000000000,P,534.0,P
1970-01-01 00:00:00.000000000,1.72,P,1970-01-01 00:00:00.000000000,P,491.0,P
1970-01-01 00:00:00.000000000,2.13,P,1970-01-01 00:00:00.000000000,P,579.0,P
1970-01-01 00:00:00.000000000,2.27,P,1970-01-01 00:00:00.000000000,P,629.0,P
1970-01-01 00:00:00.000000000,1.72,P,1970-01-01 00:00:00.000000000,P,776.0,P
